Best: 0.809077 using {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 16} 
0.801772 (0.014778) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.774027 (0.020667) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.809077 (0.026078) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.785570 (0.033756) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.799942 (0.025681) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.761246 (0.041483) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.768950 (0.042820) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.793279 (0.008587) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.777641 (0.026510) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.778161 (0.015983) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.795949 (0.016549) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.767328 (0.033423) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.794286 (0.017193) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.781502 (0.018027) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.797840 (0.008159) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.796653 (0.010912) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.737799 (0.021260) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.730023 (0.034823) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.745955 (0.031076) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.726374 (0.023071) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.740875 (0.012356) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.728940 (0.025373) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.728168 (0.016808) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.633948 (0.094879) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.746565 (0.037514) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.726042 (0.037985) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.724663 (0.018054) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.735702 (0.021200) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.743889 (0.005458) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.744562 (0.008171) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.734715 (0.031052) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.737961 (0.015596) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.651935 (0.110204) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.714141 (0.007977) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.667035 (0.040965) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.755289 (0.021676) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.687076 (0.056928) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.724764 (0.009102) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.725211 (0.008107) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.697323 (0.009003) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.670305 (0.044282) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.687860 (0.039118) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.673637 (0.055891) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.693222 (0.025569) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.695684 (0.013229) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.729676 (0.023913) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.693063 (0.040945) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.687705 (0.024423) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.689249 (0.041331) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.719467 (0.020291) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.674118 (0.018776) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.643603 (0.104702) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.748825 (0.037460) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.731438 (0.041879) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.729917 (0.022736) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.659770 (0.125525) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.709999 (0.020924) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
