Best: 0.954908 using {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 16} 
0.950438 (0.006872) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.939883 (0.025039) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.954908 (0.009012) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.938283 (0.025357) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.942629 (0.016155) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.941878 (0.020648) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.941646 (0.016826) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.938597 (0.023895) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.952650 (0.005311) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.941990 (0.017304) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.952414 (0.002582) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.944277 (0.020283) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.948651 (0.011982) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.939359 (0.014687) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.940893 (0.022092) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.939862 (0.013245) with: {'batch_size': 16, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.949675 (0.014828) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.938170 (0.015603) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.944980 (0.020154) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.943431 (0.015115) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.950653 (0.007498) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.940173 (0.023621) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.941130 (0.009720) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.950961 (0.012381) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.940572 (0.014009) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.937819 (0.015726) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.947713 (0.007390) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.940845 (0.014950) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.945080 (0.008957) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.942485 (0.015432) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.941601 (0.013285) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.943542 (0.008270) with: {'batch_size': 16, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.940828 (0.009768) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.944170 (0.013680) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.942370 (0.013718) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.937266 (0.023504) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.944537 (0.008600) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.944381 (0.004419) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.940714 (0.008466) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.946341 (0.013161) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.939369 (0.010414) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.941774 (0.006386) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.945529 (0.006932) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.943160 (0.015142) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.941370 (0.019040) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.939729 (0.009233) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.943818 (0.000892) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.942431 (0.013148) with: {'batch_size': 16, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.944058 (0.009475) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.942328 (0.004888) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.945366 (0.010654) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.946081 (0.012494) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.938928 (0.006424) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.947531 (0.005252) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.944605 (0.005570) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.946499 (0.004088) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.935107 (0.010565) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.938041 (0.011352) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.939594 (0.009218) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.939834 (0.009011) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.939699 (0.008683) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.939153 (0.004614) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.941873 (0.008406) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.938448 (0.002945) with: {'batch_size': 16, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
